X,Y,Name,ADA,Address,Field_1,POINT_X,POINT_Y,Park and Ride,Rail Line,Station ID,Station Name
-87.77679106162,41.870894237935,Austin,Not ADA  Accessible,1050 S. Austin Blvd,Austin,1135832.541209,1896032.408335,0,Blue Line,10,Austin-Congress
-87.7656552962431,41.8873968620832,Central,ADA Accessible,350 N. Central Avenue,Central,1138825.735196,1902065.7933,0,Green Line (Lake),280,Central-Lake
-87.70432643014,41.8043562455804,Kedzie,ADA Accessible,4900 S. Kedzie Avenue,Kedzie,1155746.785068,1871922.532344,1,Orange Line,1150,Kedzie-Midway
-87.7061611934145,41.8843289466525,Kedzie,ADA Accessible,3200 W. Lake Street,Kedzie,1155033.734187,1901060.632339,0,Green Line (Lake),1070,Kedzie-Lake
-87.6835487085104,42.0477179742168,Davis,ADA Accessible,1612 N. Benson Avenue,Davis,1160739.716144,1960646.079307,0,"Purple Line, Evanston Express",50,Davis
-87.673951642288,41.8756432795085,Medical District,ADA Accessible,430 S. Damen Avenue,Medical District,1163828.914995,1897961.331984,0,Blue Line,810,Illinois Medical District
-87.652650066547,41.9182244273074,Armitage,ADA Accessible,944 W. Armitage Avenue,Armitage,1169507.151161,1913523.191327,0,"Brown, Purple (Express)",660,Armitage
-87.6585357313285,41.9734611912188,Argyle,Not ADA  Accessible,1118 W. Argyle Street,Argyle,1167746.828087,1933638.97733,0,Red Line,1200,Argyle
-87.6440288713858,41.7790357039443,Halsted,ADA Accessible,6321 S. Halsted Street,Halsted,1172260.636475,1862821.97016,0,Green Line,940,Halsted/63rd
-87.6338592813957,41.8827028726792,Washington/Wells,ADA Accessible,100 N. Wells Street,Washington/Wells,1174726.838845,1900620.274451,0,"Brown, Orange, Pink, Purple (Express)",730,Washington/Wells
-87.6294458098575,41.8831722810713,Washington,Not ADA  Accessible,19 N. Dearborn,Washington,1175927.28403,1900801.153299,0,Blue Line,370,Washington/Dearborn
-87.6278409306554,41.8857482658558,State/Lake,Not ADA  Accessible,200 N. State Street,State/Lake,1176356.594239,1901743.429396,0,"Brown, Orange, Pink,  Purple (Express), Green",260,State/Lake
-87.6274848664284,41.8740470971052,Harrison,Not ADA  Accessible,608 S. State Street,Harrison,1176488.619071,1897480.330512,0,Red Line,1490,Harrison
-87.6274081309855,41.8673755179234,Roosevelt,ADA Accessible,1167 S. State Street,Roosevelt,1176529.511231,1895049.388302,0,Red Line,1400,Roosevelt/State
-87.7453477910822,41.8519325576649,Cicero,ADA Accessible,2133 S. 48th Court,Cicero,1144443.843873,1889179.920904,0,Pink,420,Cicero-Douglas
-87.760898076954,41.9706420002594,Jefferson Park,ADA Accessible,4917 N. Milwaukee Avenue,Jefferson Park,1139918.571549,1932409.028401,0,Blue Line,1280,Jefferson Park
-87.7519244278655,42.0389585676811,Dempster-Skokie,ADA Accessible,5001 W. Dempster Street,Dempster-Skokie,1142189.799199,1957320.432456,1,Yellow Line,140,Dempster-Skokie
-87.7244554126788,41.79989565534,Pulaski,ADA Accessible,5106 S. Pulaski Road,Pulaski,1150270.222375,1870257.601783,1,Orange Line,960,Pulaski-Midway
-87.7131478186709,41.9679360158686,Kimball,ADA Accessible,4755 N. Kimball Avenue,Kimball,1152910.875945,1931513.337392,1,Brown Line,1290,Kimball
-87.6774424215003,41.9097516488515,Damen,Not ADA  Accessible,1558 N. Damen Avenue,Damen,1162783.21413,1910383.12246,0,Blue Line,590,Damen/Milwaukee
-87.6873701519635,41.9161652860628,Western,ADA Accessible,1909 N. Western Avenue,Western,1160063.300144,1912699.74915,0,Blue Line (O'Hare),670,Western/Milwaukee
-87.6795437027357,42.0334635879271,Main,Not ADA  Accessible,836 N. Chicago Avenue,Main,1161867.215153,1955459.943238,0,"Purple Line, Evanston Express",270,Main
-87.6783351950943,42.0276197251038,South Boulevard,Not ADA  Accessible,601 W. South Boulevard,South Boulevard,1162211.833138,1953332.902468,0,"Purple Line, Evanston Express",840,South Boulevard
-87.6521337492022,41.8855846423837,Morgan,ADA Accessible,1000 W Lake St,Morgan,1169742.118969,1901630.358292,0,"Green (Lake), Pink",1510,Morgan
-87.6528715990472,41.9250592289658,Fullerton,ADA Accessible,943  W. Fullerton Avenue,Fullerton,1169427.095096,1916013.325345,0,"Red, Brown, Purple (Express)",1220,Fullerton
-87.6532722125531,41.9360404649145,Wellington,ADA Accessible,945 W. Wellington Avenue,Wellington,1169286.335032,1920014.046245,0,"Brown, Purple (Express)",1210,Wellington
-87.6190415217967,41.8164710665178,43rd,ADA Accessible,314 E. 43rd Street,43rd,1178962.667585,1876518.81702,0,Green Line,1270,43rd
-87.6293834503996,41.8807113152785,Monroe,Not ADA  Accessible,114 S. Dearborn,Monroe,1175951.621183,1899904.518418,0,Blue Line,790,Monroe/Dearborn
-87.6278191303412,41.8848167227136,Lake,ADA Accessible,188 N. State,Lake,1176365.321279,1901404.02434,0,Red Line,1660,Lake/State
-87.6261945339908,41.8832278676329,Washington/Wabash,ADA Accessible,29 N. Wabash,Washington/Wabash,1176812.477247,1900828.687635,0,"Brown, Orange, Pink,  Purple (Express), Green",1700,Washington/Wabash
-87.6359524105505,41.8967820282575,Chicago,ADA Accessible,300 W. Chicago Avenue,Chicago,1174115.154493,1905746.075928,0,"Brown, Purple (Express)",710,Chicago/Franklin
-87.9018542401251,41.9788845945215,O'Hare,ADA Accessible,1000 O'Hare Drive,O'Hare,1101572.003065,1935188.075315,0,Blue Line,890,O'Hare Airport
-87.7451779610493,41.8716158966054,Cicero,Not ADA  Accessible,720 S. Cicero Avenue,Cicero,1144440.976673,1896352.789263,0,Blue Line (Congress),970,Cicero-Congress
-87.7436227659806,41.961494494582,Montrose,Not ADA  Accessible,4600 W. Montrose Avenue,Montrose,1144639.346721,1929107.506477,0,Blue Line,1330,Montrose-O'Hare
-87.7148860365821,41.8539997996978,Central Park,ADA Accessible,1915 S. Central Park Avenue,Central Park,1152737.528617,1889991.515913,0,Pink,780,Central Park
-87.7165286089476,41.8849122297051,Conservatory,ADA Accessible,3631 W. Lake Street,Conservatory,1152209.095208,1901252.718356,0,Green Line (Lake),1670,Conservatory-Central Park
-87.7123651306988,41.9381395290749,Belmont,Not ADA  Accessible,3355 W. Belmont Avenue,Belmont,1153202.401577,1920656.947494,0,Blue Line,60,Belmont-O'Hare
-87.6968955727368,41.9219470288921,California,Not ADA  Accessible,2211 N. California Avenue,California,1157455.120685,1914787.239456,0,Blue Line (O'Hare),570,California/Milwaukee
-87.6941169023781,41.9662178145924,Rockwell,ADA Accessible,4648 N. Rockwell Street,Rockwell,1158091.021614,1930925.255983,0,Brown Line,1010,Rockwell
-87.6665018300423,41.903362941394,Division,Not ADA  Accessible,1200 N. Milwaukee Avenue,Division,1165779.323701,1908078.03625,0,Blue Line,320,Division/Milwaukee
-87.670889712045,41.9437170110947,Paulina,ADA Accessible,3411 N. Paulina Street,Paulina,1164471.229748,1922773.867048,0,Brown Line,1310,Paulina
-87.6533862509046,41.9397586090157,Belmont,ADA Accessible,945 W. Belmont Avenue,Belmont,1169244.560184,1921368.701478,0,"Red, Brown, Purple (Express)",1320,Belmont-North Main
-87.6751711621703,41.9617595767203,Montrose,ADA Accessible,1814 W. Montrose Avenue,Montrose,1163255.951923,1929339.66571,0,Brown Line,1500,Montrose-Ravenswood
-87.6577398122228,41.9642620267585,Wilson,ADA Accessible,4920 N. Broadway Street,Wilson,1168029.494071,1930295.534383,0,"Purple, Red Line",540,Wilson
-87.6258872185329,41.8316858675362,35-Bronzeville-IIT,ADA Accessible,16 E. 35th Street,35-Bronzeville-IIT,1177050.915136,1882047.587074,0,Green Line,1120,35-Bronzeville-IIT
-87.6417770582394,41.8857112779315,Clinton,ADA Accessible,540 W. Lake Street,Clinton,1172561.886779,1901699.061012,0,"Green (Lake), Pink",1160,Clinton-Lake
-87.6308917692326,41.885744841126,Clark/Lake,ADA Accessible,100 W. Lake,Clark/Lake,1175525.859134,1901735.36642,0,"Brown, Orange, Pink, Purple (Express), Green, Blue",380,Clark/Lake
-87.8593935296364,41.9835151466621,Rosemont,ADA Accessible,5801 N. River Road,Rosemont,1113107.880452,1936936.482101,1,Blue Line,820,Rosemont
-87.7916079466438,41.8721158177932,Oak Park,Not ADA  Accessible,950 S. Oak Park Avenue,Oak Park,1131794.163221,1896451.732495,0,Blue Line,180,Oak Park-Congress
-87.7191050851877,41.9473679629925,Addison,ADA Accessible,3622 W. Addison Street,Addison,1151344.5146,1924006.599721,0,Blue Line,1240,Addison-O'Hare
-87.684070745255,41.8046913980631,Western,ADA Accessible,4901 S. Western Avenue,Western,1161268.486449,1872085.726712,1,Orange Line,310,Western-Midway
-87.6962399861887,41.8842273825954,California,ADA Accessible,2800 W. Lake Street,California,1157735.615534,1901043.522835,0,Green Line (Lake),1360,California-Lake
-87.6552200382654,41.8960830926877,Chicago,Not ADA  Accessible,800 N. Milwaukee Avenue,Chicago,1168871.484984,1905449.333527,0,Blue Line,1410,Chicago/Milwaukee
-87.6475840665063,41.8911971489399,Grand,Not ADA  Accessible,502 N. Milwaukee Avenue,Grand,1170964.658746,1903685.42031,0,Blue Line (O'Hare),490,Grand/Milwaukee
-87.6586741879951,41.9779918616499,Berwyn,Not ADA  Accessible,1121 W. Berwyn Avenue,Berwyn,1167696.175159,1935289.679411,0,Red Line,340,Berwyn
-87.6584987290971,41.9691468084194,Lawrence,Not ADA  Accessible,1117 W. Lawrence Avenue,Lawrence,1167769.274167,1932066.87544,0,Red Line,770,Lawrence
-87.6309735739579,41.8532136452985,Cermak-Chinatown,ADA Accessible,138 W. Cermak Road,Cermak-Chinatown,1175600.577598,1889880.865545,0,Red Line,1000,Cermak-Chinatown
-87.628214893786,41.8769161939259,Library,ADA Accessible,26 W. Van Buren Street,Library,1176281.206847,1898524.192017,0,"Brown, Orange, Pink, Purple (Express)",850,Library
-87.6280270080354,41.8916730574256,Grand,ADA Accessible,521 N. State Street,Grand,1176288.179263,1903902.00527,0,Red Line,330,Grand/State
-87.6393079203776,41.9104170389223,Sedgwick,ADA Accessible,1536 N. Sedgwick Avenue,Sedgwick,1173161.406268,1910707.2735,0,"Brown, Purple (Express)",800,Sedgwick
